"aaer_event_key","first_release_url","most_recent_release_url"
595,"https://www.sec.gov/litigation/litreleases/lr17074.htm","https://www.sec.gov/litigation/litreleases/2007/lr19977.htm"
596,"https://www.sec.gov/litigation/admin/34-46017.htm","https://www.sec.gov/litigation/admin/34-46017.htm"
597,"https://www.sec.gov/litigation/litreleases/lr17521.htm","https://www.sec.gov/litigation/litreleases/lr17521.htm"
598,"https://www.sec.gov/litigation/litreleases/lr17522.htm","https://www.sec.gov/litigation/admin/34-51191.htm"
599,"https://www.sec.gov/litigation/admin/34-45925.htm","https://www.sec.gov/litigation/admin/34-45925.htm"
601,"https://www.sec.gov/litigation/admin/34-45853.htm","https://www.sec.gov/litigation/admin/34-45853.htm"
602,"https://www.sec.gov/litigation/admin/34-45852.htm","https://www.sec.gov/litigation/admin/34-45852.htm"
603,"https://www.sec.gov/litigation/admin/34-45507.htm","https://www.sec.gov/litigation/opinions/2006/34-54824.pdf"
604,"https://www.sec.gov/litigation/admin/33-8093.htm","https://www.sec.gov/litigation/litreleases/2011/lr21804.htm"
605,"https://www.sec.gov/litigation/litreleases/lr17465.htm","https://www.sec.gov/litigation/admin/2007/34-57008.pdf"
607,"https://www.sec.gov/litigation/admin/34-45393.htm","https://www.sec.gov/litigation/litreleases/lr18615.htm"
608,"https://www.sec.gov/litigation/admin/34-45665.htm","https://www.sec.gov/litigation/litreleases/lr17448.htm"
609,"https://www.sec.gov/litigation/admin/34-45655.htm","https://www.sec.gov/litigation/litreleases/lr18410.htm"
610,"https://www.sec.gov/litigation/admin/34-45653.htm","https://www.sec.gov/litigation/admin/34-45653.htm"
611,"https://www.sec.gov/litigation/litreleases/lr17426.htm","https://www.sec.gov/litigation/litreleases/lr17426.htm"
612,"https://www.sec.gov/litigation/admin/34-42022.htm","https://www.sec.gov/litigation/admin/34-51570.pdf"
613,"https://www.sec.gov/litigation/litreleases/lr16743.htm","https://www.sec.gov/litigation/litreleases/2010/lr21527.htm"
615,"https://www.sec.gov/litigation/admin/34-45551.htm","https://www.sec.gov/litigation/litreleases/lr17410.htm"
616,"https://www.sec.gov/litigation/admin/33-8067.htm","https://www.sec.gov/litigation/litreleases/lr18263.htm"
618,"https://www.sec.gov/litigation/litreleases/lr17389.htm","https://www.sec.gov/litigation/litreleases/lr18127.htm"
619,"https://www.sec.gov/litigation/admin/34-45441.htm","https://www.sec.gov/litigation/litreleases/lr17361.htm"
620,"https://www.sec.gov/litigation/admin/34-45362.htm","https://www.sec.gov/litigation/litreleases/lr18078.htm"
621,"https://www.sec.gov/litigation/litreleases/lr17319.htm","https://www.sec.gov/litigation/litreleases/lr17319.htm"
622,"https://www.sec.gov/litigation/admin/34-45287.htm","https://www.sec.gov/litigation/admin/34-45287.htm"
